Timestamp,kW orig,hour,yyyymm,kW
2024-08-11 00:00:00,1.0428,0,2024-08,1.0428
2024-08-11 01:00:00,1.0495,1,2024-08,1.0495
2024-08-11 02:00:00,1.0588,2,2024-08,1.0588
2024-08-11 03:00:00,0.9481,3,2024-08,0.9481
2024-08-11 04:00:00,0.3702,4,2024-08,0.3702
2024-08-11 05:00:00,0.8048,5,2024-08,0.8048
2024-08-11 06:00:00,1.031199,6,2024-08,1.031199
2024-08-11 07:00:00,1.0002,7,2024-08,1.0002
2024-08-11 08:00:00,1.042899,8,2024-08,1.042899
2024-08-11 09:00:00,1.0338,9,2024-08,1.0338
2024-08-11 10:00:00,2.065599,10,2024-08,2.065599
2024-08-11 11:00:00,1.1349,11,2024-08,1.1349
2024-08-11 12:00:00,0.3951,12,2024-08,8.5376
2024-08-11 13:00:00,0.2855,13,2024-08,8.942
2024-08-11 14:00:00,0.2892,14,2024-08,1.2959
2024-08-11 15:00:00,0.3479,15,2024-08,0.3932
2024-08-11 16:00:00,1.1537,16,2024-08,1.1537
2024-08-11 17:00:00,0.9807,17,2024-08,0.9807
2024-08-11 18:00:00,0.6386,18,2024-08,0.6386
2024-08-11 19:00:00,0.5598,19,2024-08,0.5598
2024-08-11 20:00:00,0.9998,20,2024-08,0.9998
2024-08-11 21:00:00,0.8439,21,2024-08,0.8439
2024-08-11 22:00:00,0.531,22,2024-08,0.531
2024-08-11 23:00:00,0.406,23,2024-08,0.406
2024-08-12 00:00:00,1.3054,0,2024-08,1.3054
2024-08-12 01:00:00,1.36,1,2024-08,1.36
2024-08-12 02:00:00,1.3513,2,2024-08,1.3513
2024-08-12 03:00:00,1.1235,3,2024-08,1.1235
2024-08-12 04:00:00,0.4514,4,2024-08,0.4514
2024-08-12 05:00:00,0.7389,5,2024-08,0.7389
2024-08-12 06:00:00,1.0604,6,2024-08,1.0604
2024-08-12 07:00:00,1.0872,7,2024-08,1.0872
2024-08-12 08:00:00,1.1537,8,2024-08,1.1537
2024-08-12 09:00:00,1.626,9,2024-08,1.626
2024-08-12 10:00:00,2.4926,10,2024-08,2.4926
2024-08-12 11:00:00,1.6203,11,2024-08,1.6203
2024-08-12 12:00:00,1.9365,12,2024-08,8.5181
2024-08-12 13:00:00,1.2841,13,2024-08,1.4841
2024-08-12 14:00:00,0.3282,14,2024-08,0.8865
2024-08-12 15:00:00,0.4248,15,2024-08,0.4324
2024-08-12 16:00:00,0.9838,16,2024-08,0.9838
2024-08-12 17:00:00,1.0814,17,2024-08,1.0814
2024-08-12 18:00:00,1.0374,18,2024-08,1.0374
2024-08-12 19:00:00,0.9281,19,2024-08,0.9281
2024-08-12 20:00:00,1.1801,20,2024-08,1.1801
2024-08-12 21:00:00,0.9345,21,2024-08,0.9345
2024-08-12 22:00:00,0.6595,22,2024-08,0.6595
2024-08-12 23:00:00,0.4382,23,2024-08,0.4382
2024-08-13 00:00:00,1.8883,0,2024-08,1.8883
2024-08-13 01:00:00,1.7861,1,2024-08,1.7861
2024-08-13 02:00:00,1.3604,2,2024-08,1.3604
2024-08-13 03:00:00,1.1038,3,2024-08,1.1038
2024-08-13 04:00:00,1.8516,4,2024-08,1.8516
2024-08-13 05:00:00,2.055699,5,2024-08,2.055699
2024-08-13 06:00:00,2.3447,6,2024-08,2.3447
2024-08-13 07:00:00,2.4542,7,2024-08,2.4542
2024-08-13 08:00:00,2.45,8,2024-08,2.45
