Timestamp,demand,season,period,period_type,solar_efficiency,month,hour,day,yyyymm,ymd
2024-08-04 09:00:00,1.1382,summer,summer off peak,off peak,1.0,8,9,4,2024-08,2024-08-04
2024-08-04 10:00:00,2.058399,summer,summer off peak,off peak,1.0,8,10,4,2024-08,2024-08-04
2024-08-04 11:00:00,1.0549,summer,summer off peak,off peak,1.0,8,11,4,2024-08,2024-08-04
2024-08-04 12:00:00,8.5817,summer,summer off peak,off peak,1.0,8,12,4,2024-08,2024-08-04
2024-08-04 13:00:00,6.4565,summer,summer off peak,off peak,1.0,8,13,4,2024-08,2024-08-04
2024-08-04 14:00:00,0.9848,summer,summer off peak,off peak,1.0,8,14,4,2024-08,2024-08-04
2024-08-04 15:00:00,0.9355,summer,summer part peak,part peak,1.0,8,15,4,2024-08,2024-08-04
2024-08-04 16:00:00,1.0116,summer,summer peak,peak,1.0,8,16,4,2024-08,2024-08-04
2024-08-04 17:00:00,0.914,summer,summer peak,peak,1.0,8,17,4,2024-08,2024-08-04
2024-08-04 18:00:00,0.3617,summer,summer peak,peak,1.0,8,18,4,2024-08,2024-08-04
2024-08-04 19:00:00,0.3988,summer,summer peak,peak,1.0,8,19,4,2024-08,2024-08-04
2024-08-04 20:00:00,0.423,summer,summer peak,peak,1.0,8,20,4,2024-08,2024-08-04
2024-08-04 21:00:00,0.4847,summer,summer part peak,part peak,1.0,8,21,4,2024-08,2024-08-04
2024-08-04 22:00:00,0.3849,summer,summer part peak,part peak,1.0,8,22,4,2024-08,2024-08-04
2024-08-04 23:00:00,0.3551,summer,summer part peak,part peak,1.0,8,23,4,2024-08,2024-08-04
2024-08-05 00:00:00,1.0866,summer,summer off peak,off peak,1.0,8,0,5,2024-08,2024-08-05
2024-08-05 01:00:00,1.0803,summer,summer off peak,off peak,1.0,8,1,5,2024-08,2024-08-05
2024-08-05 02:00:00,1.1247,summer,summer off peak,off peak,1.0,8,2,5,2024-08,2024-08-05
2024-08-05 03:00:00,1.0421,summer,summer off peak,off peak,1.0,8,3,5,2024-08,2024-08-05
2024-08-05 04:00:00,0.4384,summer,summer off peak,off peak,1.0,8,4,5,2024-08,2024-08-05
2024-08-05 05:00:00,0.6566,summer,summer off peak,off peak,1.0,8,5,5,2024-08,2024-08-05
2024-08-05 06:00:00,0.9724,summer,summer off peak,off peak,1.0,8,6,5,2024-08,2024-08-05
2024-08-05 07:00:00,1.0556,summer,summer off peak,off peak,1.0,8,7,5,2024-08,2024-08-05
2024-08-05 08:00:00,1.0853,summer,summer off peak,off peak,1.0,8,8,5,2024-08,2024-08-05
2024-08-05 09:00:00,1.1526,summer,summer off peak,off peak,1.0,8,9,5,2024-08,2024-08-05
2024-08-05 10:00:00,2.0695,summer,summer off peak,off peak,1.0,8,10,5,2024-08,2024-08-05
2024-08-05 11:00:00,1.024799,summer,summer off peak,off peak,1.0,8,11,5,2024-08,2024-08-05
2024-08-05 12:00:00,0.3304,summer,summer off peak,off peak,1.0,8,12,5,2024-08,2024-08-05
2024-08-05 13:00:00,0.5539,summer,summer off peak,off peak,1.0,8,13,5,2024-08,2024-08-05
2024-08-05 14:00:00,0.4654,summer,summer off peak,off peak,1.0,8,14,5,2024-08,2024-08-05
2024-08-05 15:00:00,0.4614,summer,summer part peak,part peak,1.0,8,15,5,2024-08,2024-08-05
2024-08-05 16:00:00,0.9793,summer,summer peak,peak,1.0,8,16,5,2024-08,2024-08-05
2024-08-05 17:00:00,0.8226,summer,summer peak,peak,1.0,8,17,5,2024-08,2024-08-05
2024-08-05 18:00:00,0.4227,summer,summer peak,peak,1.0,8,18,5,2024-08,2024-08-05
2024-08-05 19:00:00,0.44,summer,summer peak,peak,1.0,8,19,5,2024-08,2024-08-05
2024-08-05 20:00:00,0.4279,summer,summer peak,peak,1.0,8,20,5,2024-08,2024-08-05
2024-08-05 21:00:00,0.4845,summer,summer part peak,part peak,1.0,8,21,5,2024-08,2024-08-05
2024-08-05 22:00:00,0.3728,summer,summer part peak,part peak,1.0,8,22,5,2024-08,2024-08-05
2024-08-05 23:00:00,0.257199,summer,summer part peak,part peak,1.0,8,23,5,2024-08,2024-08-05
2024-08-06 00:00:00,1.0488,summer,summer off peak,off peak,1.0,8,0,6,2024-08,2024-08-06
2024-08-06 01:00:00,1.1903,summer,summer off peak,off peak,1.0,8,1,6,2024-08,2024-08-06
2024-08-06 02:00:00,1.1845,summer,summer off peak,off peak,1.0,8,2,6,2024-08,2024-08-06
2024-08-06 03:00:00,0.9954,summer,summer off peak,off peak,1.0,8,3,6,2024-08,2024-08-06
2024-08-06 04:00:00,0.3004,summer,summer off peak,off peak,1.0,8,4,6,2024-08,2024-08-06
2024-08-06 05:00:00,0.7059,summer,summer off peak,off peak,1.0,8,5,6,2024-08,2024-08-06
2024-08-06 06:00:00,0.9944,summer,summer off peak,off peak,1.0,8,6,6,2024-08,2024-08-06
2024-08-06 07:00:00,1.0762,summer,summer off peak,off peak,1.0,8,7,6,2024-08,2024-08-06
2024-08-06 08:00:00,1.1545,summer,summer off peak,off peak,1.0,8,8,6,2024-08,2024-08-06
2024-08-06 09:00:00,1.0725,summer,summer off peak,off peak,1.0,8,9,6,2024-08,2024-08-06
2024-08-06 10:00:00,2.025599,summer,summer off peak,off peak,1.0,8,10,6,2024-08,2024-08-06
2024-08-06 11:00:00,1.043199,summer,summer off peak,off peak,1.0,8,11,6,2024-08,2024-08-06
2024-08-06 12:00:00,1.2253,summer,summer off peak,off peak,1.0,8,12,6,2024-08,2024-08-06
2024-08-06 13:00:00,1.1452,summer,summer off peak,off peak,1.0,8,13,6,2024-08,2024-08-06
2024-08-06 14:00:00,1.2833,summer,summer off peak,off peak,1.0,8,14,6,2024-08,2024-08-06
