month,year_month,to_grid,from_grid,generation net cost,generation credit applied,generation rollover credit,delivery net cost,delivery credit applied,delivery rollover credit,bonus credit applied,bonus rollover credit,grid cost,net cost,savings,cumulative savings,cumulative pge,cumulative net
9,2031-09-01,259.44500946329237,267.33711291534905,0.0,66.44352498962529,2334.282772539756,0.0,56.19872516283237,12.7065483778834,0.0,0.0,591.6609544713582,33.44529466025784,558.2156598111004,-8111.552420367891,36308.31839966725,7787.910820035139
10,2031-10-01,90.05247308107944,340.56236785951586,0.0,50.23066013527447,2294.3564709732677,46.25997779775314,19.619214859586677,-3.552713678800501e-15,0.0,0.0,573.1860068823307,84.75755042005113,488.4284564622796,-7623.123963905611,36881.50440654958,7872.668370455191
11,2031-11-01,19.904913830720815,558.5041396612203,0.0,83.856160480709,2211.6737341932767,107.9459450178566,0.19768943594401378,-6.38378239159465e-15,0.0,0.0,555.6011397674885,161.48071227363604,394.1204274938524,-7229.0035364117575,37437.10554631707,8034.149082728826
12,2031-12-01,0.0,995.8821723922999,0.0,151.8911564922451,2059.7825777010316,192.98992655795567,0.0,-6.38378239159465e-15,0.0,0.0,606.00518457515,276.70219742956573,329.30298714558427,-6899.700549266174,38043.11073089222,8310.851280158391
1,2032-01-01,0.44359954999190565,935.7150706554777,0.0,147.2072631109053,1912.6022943147568,188.49586897718842,0.0025373894259530516,-5.734995811579324e-15,0.0,0.0,657.0451160012543,270.63926559873937,386.40585040251494,-6513.294698863658,38700.155846893475,8581.490545757131
2,2032-02-01,7.5643357622555385,694.2954160270459,0.0,109.13421735714701,1803.6779499130955,139.855468500459,0.009440864094841572,6.423681031542117e-15,0.0,0.0,536.2709918061596,204.67549807225245,331.5954937339071,-6181.699205129749,39236.426838699634,8786.166043829384
3,2032-03-01,39.31922710283618,822.4207682320059,0.0,128.04815645875095,1676.4351105688754,165.50743797584875,0.07311020234817533,-1.6237011735142914e-15,0.0,0.0,712.7050066438818,239.52126126771898,473.18374537616285,-5708.5154597535875,39949.131845343516,9025.687305097103
4,2032-04-01,115.56079655637288,409.28878365641725,0.0,62.78511825858892,1614.3906871066959,82.29277974599715,0.04697467380989906,-1.9984014443252818e-15,0.0,0.0,583.6533372449632,126.66180456521296,456.9915326797502,-5251.523927073838,40532.78518258848,9152.349109662315
5,2032-05-01,109.37203235690039,357.6185357088643,0.0,54.816035901337024,1560.7179598824448,71.85316833716946,0.09005064874412483,3.247402347028583e-15,0.0,0.0,602.5798115724227,112.51453036428538,490.0652812081373,-4761.4586458656995,41135.364994160904,9264.8636400266
6,2032-06-01,216.9830416752149,18.351401159072772,0.0,4.002728570474379,1564.3213437807567,0.0,3.6374720417960984,15.197817741149475,0.0,0.0,534.849222180602,16.316827574147826,518.5323946064542,-4242.926251259247,41670.214216341505,9281.180467600749
7,2032-07-01,172.73620576718733,67.39076207651014,0.0,16.32905353241022,1611.917884827852,0.0,14.18941763277475,13.063350203153915,0.0,0.0,612.3661077343648,19.835707801053154,592.5303999333117,-3650.395851325935,42282.58032407587,9301.016175401803
8,2032-08-01,279.37736644842846,194.07811776933957,0.0,49.67868831437289,1891.9665158016048,0.0,42.11582353317505,45.48439722051874,0.0,0.0,599.048716874724,28.926316296073395,570.1224005786506,-3080.273450747285,42881.62904095059,9329.942491697877
9,2032-09-01,71.2382498618287,89.95704453952195,0.0,19.92182142821803,1885.3672610470503,0.0,17.97556289882351,31.926273963421117,0.0,0.0,615.3273926502125,21.45497941610426,593.8724132341082,-2486.4010375131766,43496.956433600804,9351.397471113982
10,2032-10-01,86.68666000875515,334.7224195360778,0.0,51.3226193212731,1838.7991060117122,28.265249134659953,39.072503565200165,0.0,0.0,0.0,596.113447157624,67.2836719193785,528.8297752382455,-1957.5712622749343,44093.06988075843,9418.68114303336
11,2032-11-01,18.92789097939795,551.9685434825753,0.0,86.21553764664972,1753.561382285993,111.00025341282335,0.15483222930794227,-2.4424906541753444e-15,0.0,0.0,575.7837244214686,165.60744154083835,410.17628288063025,-1547.394979394303,44668.853605179895,9584.288584574198
12,2032-12-01,0.0,997.6086956627307,0.0,158.2584240471964,1595.3029582387967,201.0587835873081,0.0,-2.4424906541753444e-15,0.0,0.0,630.245391958156,287.64343411459816,342.60195784355784,-1204.793021550744,45299.09899713805,9871.932018688796
1,2033-01-01,0.32570115179193726,937.9260873568559,0.0,153.4743422146172,1441.8435591930238,196.5017158588581,0.0011562390888570917,1.8431436932253575e-15,0.0,0.0,683.3269206413045,281.49584876368056,401.8310718776239,-802.9619496731175,45982.42591777935,10153.427867452478
2,2033-02-01,6.994587223206498,695.9216579229378,0.0,113.76827881588333,1328.2734866601857,145.79094210279254,0.00938171587969805,-1.6306400674181987e-15,0.0,0.0,557.721831478406,212.72513358399132,344.99669789441464,-457.96525177870353,46540.147749257754,10366.15300103647
3,2033-03-01,37.198941051805285,865.771901277724,0.0,140.19490904254448,1188.7733529511986,181.22033457180788,0.06597602611105913,-2.858824288409778e-15,0.0,0.0,741.2132069096372,260.82985374411936,480.3833531655178,22.41810138681467,47281.360956167395,10626.982854780588
4,2033-04-01,104.84238950369277,401.2891624000655,0.0,64.0139413442261,1125.3340893698592,83.92913399229492,0.030249254477766385,-3.5006719745211967e-15,0.0,0.0,606.9994707347618,128.8759361389852,478.12353459577656,500.5416359825904,47888.36042690216,10755.858790919574
5,2033-05-01,104.40132942694974,358.83278149889844,0.0,57.202242657809734,1068.923190073324,75.02194826054266,0.05304398120382814,7.008282842946301e-15,0.0,0.0,626.6830040353196,116.80037967150841,509.88262436381126,1010.4242603464008,48515.043430937476,10872.659170591083
6,2033-06-01,216.34102755293398,7.681232540751985,0.0,1.7424132483426193,1073.494151174045,0.0,1.5834147543385038,16.455733803477074,0.0,0.0,556.2431910678262,15.57322343261115,540.669967635215,1551.0942279816154,49071.286622005304,10888.232394023695
7,2033-07-01,280.6162804224642,187.45108229726029,0.0,48.552431076488354,1177.9225749662426,0.0,41.64868228298789,5.731747391107433,0.0,0.0,636.8607520437394,28.98881654357404,607.8719355001654,2158.966163481782,49708.14737404904,10917.221210567268
8,2033-08-01,279.8554975062193,197.0501782260189,0.0,52.43176759963035,1499.8412526482423,0.0,44.44188044765443,36.73564407607583,0.0,0.0,623.0106655497129,29.70516339143396,593.305502158279,2752.271665640059,50331.158039598755,10946.926373958702
9,2033-09-01,69.27605688638137,93.40254752136386,0.0,21.500273284669383,1493.4723345091722,0.0,19.40484385684566,22.504198008181262,0.0,0.0,639.940488356221,21.970304390704026,617.970183965517,3370.241849605576,50971.09852795498,10968.896678349407
